Site ,Stem_Count,Flowering ,Elevation,Distance_from_Glacial_Terminus_(m),Zone ,Notes,,
HM04,9,N,1727,1800,1928,"All ""distance from glacial terminus"" measurements are done to the closest point on the glacier ",,
HM04,10,N,1727,1800,1928,,,
HM04,38,N,1727,1800,1928,,,
HM04,11,N,1727,1800,1928,,,
HM02,35,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,1,N,1694,1800,1928,,,
HM02,1,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,1,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,0,N,1694,1800,1928,,,
HM02,4,N,1694,1800,1928,,,
HM02,2,N,1694,1800,1928,,,
HM02,2,N,1694,1800,1928,,,
HM02,1,N,1694,1800,1928,,,
HM02,2,N,1694,1800,1928,,,
HM02,6,N,1694,1800,1928,,,
