  ,entered,Notes,Transect_position,per_veg,per_moss,per_soil,per_rock,per_gravel,per_water,soil_notes,percentage,e_lewisii,e_tilingii,river_beauty,e_anagallidifolium,m_ferruginea,m_nelsoniana,l_pyrorlifolia,grass,moss,pearly_everlasting,lupin,rush ,sedge,lichen,liverwort,fern,willow,h_triste,v_wormskjoldii,s_saginoides,a_aurantiaca,s_procumbens,heather,s_triangularis,a_latifolia,a_occidentalis,e_glacialis,seedling_unknown,v_viride,o_purpurea,aquatic_plant,coltsfoot,s_divergens,latuca,abies_seedling,hemlock_seedling,unidentified,vaccinum_species,algae,fungi,antennaria_sp,l_pectinata,equisetaceae_sp,buttercup_family
HM03,Y,,0,7,5,10,0,75,10,NA,100,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM03,Y,,5,3,0,0,7,93,0,NA,100,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HM03,Y,,10,5,0,0,11,89,0,NA,100,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HM02,Y,,0,30,30,37,0,30,3,,100,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM02,Y,,5,25,20,12,13,55,0,,100,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM02,Y,,10,30,45,2,0,53,0,,100,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM04,Y,,0,5,0,15,2,63,20,sandy silt,100,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM04,Y,,5,4,2,2,2,94,0,sandy silt,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM04,Y,,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM05,Y,,0,17,65,2,30,3,0,,100,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HM05,Y,,5,17,58,1,23,18,0,,100,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM05,Y,,10,10,45,3,25,27,0,,100,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM08,Y,,0,7,1,2,15,82,0,,100,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
