"Plot Title: garibaldi_hobo_10_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406799, SEN S/N: 10406799, LBL: temp_C)","Coupler Attached (LGR S/N: 10406799)","Host Connected (LGR S/N: 10406799)","Stopped (LGR S/N: 10406799)","End Of File (LGR S/N: 10406799)"
1,08/09/19 12:00:00  PM,19.662,,,,
2,08/10/19 12:00:00  AM,12.110,,,,
3,08/10/19 12:00:00  PM,11.139,,,,
4,08/11/19 12:00:00  AM,9.077,,,,
5,08/11/19 12:00:00  PM,10.651,,,,
6,08/12/19 12:00:00  AM,8.779,,,,
7,08/12/19 12:00:00  PM,15.760,,,,
8,08/13/19 12:00:00  AM,7.782,,,,
9,08/13/19 12:00:00  PM,27.961,,,,
10,08/14/19 12:00:00  AM,10.259,,,,
11,08/14/19 12:00:00  PM,26.195,,,,
12,08/15/19 12:00:00  AM,10.259,,,,
13,08/15/19 12:00:00  PM,22.812,,,,
14,08/16/19 12:00:00  AM,9.768,,,,
15,08/16/19 12:00:00  PM,13.365,,,,
16,08/17/19 12:00:00  AM,7.882,,,,
17,08/17/19 12:00:00  PM,13.461,,,,
18,08/18/19 12:00:00  AM,8.581,,,,
19,08/18/19 12:00:00  PM,17.284,,,,
20,08/19/19 12:00:00  AM,7.983,,,,
21,08/19/19 12:00:00  PM,18.331,,,,
22,08/20/19 12:00:00  AM,8.680,,,,
23,08/20/19 12:00:00  PM,28.357,,,,
24,08/21/19 12:00:00  AM,12.594,,,,
25,08/21/19 12:00:00  PM,11.431,,,,
26,08/22/19 12:00:00  AM,6.877,,,,
27,08/22/19 12:00:00  PM,12.690,,,,
28,08/23/19 12:00:00  AM,6.674,,,,
29,08/23/19 12:00:00  PM,7.782,,,,
30,08/24/19 12:00:00  AM,7.782,,,,
31,08/24/19 12:00:00  PM,10.063,,,,
32,08/25/19 12:00:00  AM,5.450,,,,
33,08/25/19 12:00:00  PM,8.382,,,,
34,08/26/19 12:00:00  AM,3.893,,,,
35,08/26/19 12:00:00  PM,24.255,,,,
36,08/27/19 12:00:00  AM,9.373,,,,
37,08/27/19 12:00:00  PM,27.272,,,,
38,08/28/19 12:00:00  AM,12.594,,,,
39,08/28/19 12:00:00  PM,29.053,,,,
40,08/29/19 12:00:00  AM,12.594,,,,
41,08/29/19 12:00:00  PM,29.552,,,,
42,08/30/19 12:00:00  AM,12.497,,,,
43,08/30/19 12:00:00  PM,16.332,,,,
44,08/31/19 12:00:00  AM,11.625,,,,
45,08/31/19 12:00:00  PM,24.448,,,,
46,09/01/19 12:00:00  AM,11.139,,,,
47,09/01/19 12:00:00  PM,19.567,,,,
48,09/02/19 12:00:00  AM,7.782,,,,
49,09/02/19 12:00:00  PM,18.901,,,,
50,09/03/19 12:00:00  AM,12.401,,,,
51,09/03/19 12:00:00  PM,28.953,,,,
52,09/04/19 12:00:00  AM,8.581,,,,
53,09/04/19 12:00:00  PM,14.517,,,,
54,09/05/19 12:00:00  AM,10.063,,,,
55,09/05/19 12:00:00  PM,31.778,,,,
56,09/06/19 12:00:00  AM,15.187,,,,
57,09/06/19 12:00:00  PM,30.760,,,,
58,09/07/19 12:00:00  AM,11.722,,,,
59,09/07/19 12:00:00  PM,24.351,,,,
60,09/08/19 12:00:00  AM,9.373,,,,
61,09/08/19 12:00:00  PM,10.357,,,,
62,09/09/19 12:00:00  AM,7.582,,,,
63,09/09/19 12:00:00  PM,11.722,,,,
64,09/10/19 12:00:00  AM,6.674,,,,
65,09/10/19 12:00:00  PM,9.866,,,,
66,09/11/19 12:00:00  AM,5.860,,,,
67,09/11/19 12:00:00  PM,9.669,,,,
68,09/12/19 12:00:00  AM,9.275,,,,
69,09/12/19 12:00:00  PM,13.365,,,,
70,09/13/19 12:00:00  AM,24.448,,,,
71,09/13/19 12:00:00  PM,23.484,,,,
72,09/14/19 12:00:00  AM,22.142,,,,
73,09/14/19 12:00:00  PM,21.569,,,,
74,09/14/19 03:26:00  PM,,Logged,,,
75,09/14/19 03:26:08  PM,,,Logged,,
76,09/14/19 03:26:14  PM,,,,Logged,Logged
