"Plot Title: garibaldi_hobo_7_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406824, SEN S/N: 10406824)","Coupler Attached (LGR S/N: 10406824)","Host Connected (LGR S/N: 10406824)","Stopped (LGR S/N: 10406824)","End Of File (LGR S/N: 10406824)"
1,08/09/19 12:00:00  PM,21.951,,,,
2,08/09/19 01:00:00  PM,23.773,,,,
3,08/09/19 02:00:00  PM,24.448,,,,
4,08/09/19 03:00:00  PM,29.452,,,,
5,08/09/19 04:00:00  PM,31.472,,,,
6,08/09/19 05:00:00  PM,25.513,,,,
7,08/09/19 06:00:00  PM,20.901,,,,
8,08/09/19 07:00:00  PM,18.521,,,,
9,08/09/19 08:00:00  PM,11.625,,,,
10,08/09/19 09:00:00  PM,8.680,,,,
11,08/09/19 10:00:00  PM,8.978,,,,
12,08/09/19 11:00:00  PM,9.472,,,,
13,08/10/19 12:00:00  AM,11.139,,,,
14,08/10/19 01:00:00  AM,10.846,,,,
15,08/10/19 02:00:00  AM,11.528,,,,
16,08/10/19 03:00:00  AM,11.334,,,,
17,08/10/19 04:00:00  AM,10.651,,,,
18,08/10/19 05:00:00  AM,10.651,,,,
19,08/10/19 06:00:00  AM,10.357,,,,
20,08/10/19 07:00:00  AM,10.846,,,,
21,08/10/19 08:00:00  AM,11.528,,,,
22,08/10/19 09:00:00  AM,12.013,,,,
23,08/10/19 10:00:00  AM,12.401,,,,
24,08/10/19 11:00:00  AM,13.558,,,,
25,08/10/19 12:00:00  PM,13.076,,,,
26,08/10/19 01:00:00  PM,29.352,,,,
27,08/10/19 02:00:00  PM,28.655,,,,
28,08/10/19 03:00:00  PM,26.195,,,,
29,08/10/19 04:00:00  PM,26.879,,,,
30,08/10/19 05:00:00  PM,22.142,,,,
31,08/10/19 06:00:00  PM,21.855,,,,
32,08/10/19 07:00:00  PM,13.846,,,,
33,08/10/19 08:00:00  PM,12.110,,,,
34,08/10/19 09:00:00  PM,10.259,,,,
35,08/10/19 10:00:00  PM,9.275,,,,
36,08/10/19 11:00:00  PM,10.161,,,,
37,08/11/19 12:00:00  AM,9.077,,,,
38,08/11/19 01:00:00  AM,9.373,,,,
39,08/11/19 02:00:00  AM,9.472,,,,
40,08/11/19 03:00:00  AM,9.768,,,,
41,08/11/19 04:00:00  AM,9.669,,,,
42,08/11/19 05:00:00  AM,9.669,,,,
43,08/11/19 06:00:00  AM,9.669,,,,
44,08/11/19 07:00:00  AM,9.571,,,,
45,08/11/19 08:00:00  AM,9.669,,,,
46,08/11/19 09:00:00  AM,9.472,,,,
47,08/11/19 10:00:00  AM,9.176,,,,
48,08/11/19 11:00:00  AM,10.944,,,,
49,08/11/19 12:00:00  PM,15.378,,,,
50,08/11/19 01:00:00  PM,13.942,,,,
51,08/11/19 02:00:00  PM,17.665,,,,
52,08/11/19 03:00:00  PM,13.654,,,,
53,08/11/19 04:00:00  PM,13.365,,,,
54,08/11/19 05:00:00  PM,14.230,,,,
55,08/11/19 06:00:00  PM,12.690,,,,
56,08/11/19 07:00:00  PM,10.651,,,,
57,08/11/19 08:00:00  PM,9.571,,,,
58,08/11/19 09:00:00  PM,9.077,,,,
59,08/11/19 10:00:00  PM,9.176,,,,
60,08/11/19 11:00:00  PM,9.275,,,,
61,08/12/19 12:00:00  AM,9.275,,,,
62,08/12/19 01:00:00  AM,9.275,,,,
63,08/12/19 02:00:00  AM,9.176,,,,
64,08/12/19 03:00:00  AM,8.779,,,,
65,08/12/19 04:00:00  AM,8.382,,,,
66,08/12/19 05:00:00  AM,8.282,,,,
67,08/12/19 06:00:00  AM,8.282,,,,
