"Plot Title: garibaldi_hobo_2_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10355029, SEN S/N: 10355029, LBL: temp_C)","Coupler Attached (LGR S/N: 10355029)","Host Connected (LGR S/N: 10355029)","Stopped (LGR S/N: 10355029)","End Of File (LGR S/N: 10355029)"
1,07/26/19 12:00:00  PM,22.429,,,,
2,07/26/19 01:00:00  PM,23.292,,,,
3,07/26/19 02:00:00  PM,23.484,,,,
4,07/26/19 03:00:00  PM,24.448,,,,
5,07/26/19 04:00:00  PM,18.996,,,,
6,07/26/19 05:00:00  PM,19.282,,,,
7,07/26/19 06:00:00  PM,15.569,,,,
8,07/26/19 07:00:00  PM,14.613,,,,
9,07/26/19 08:00:00  PM,13.269,,,,
10,07/26/19 09:00:00  PM,11.819,,,,
11,07/26/19 10:00:00  PM,10.161,,,,
12,07/26/19 11:00:00  PM,10.063,,,,
13,07/27/19 12:00:00  AM,10.259,,,,
14,07/27/19 01:00:00  AM,10.161,,,,
15,07/27/19 02:00:00  AM,10.161,,,,
16,07/27/19 03:00:00  AM,9.275,,,,
17,07/27/19 04:00:00  AM,8.382,,,,
18,07/27/19 05:00:00  AM,7.983,,,,
19,07/27/19 06:00:00  AM,7.582,,,,
20,07/27/19 07:00:00  AM,7.882,,,,
21,07/27/19 08:00:00  AM,8.481,,,,
22,07/27/19 09:00:00  AM,9.275,,,,
23,07/27/19 10:00:00  AM,11.819,,,,
24,07/27/19 11:00:00  AM,12.110,,,,
25,07/27/19 12:00:00  PM,14.996,,,,
26,07/27/19 01:00:00  PM,16.237,,,,
27,07/27/19 02:00:00  PM,14.709,,,,
28,07/27/19 03:00:00  PM,15.855,,,,
29,07/27/19 04:00:00  PM,13.173,,,,
30,07/27/19 05:00:00  PM,12.110,,,,
31,07/27/19 06:00:00  PM,11.528,,,,
32,07/27/19 07:00:00  PM,10.944,,,,
33,07/27/19 08:00:00  PM,10.944,,,,
34,07/27/19 09:00:00  PM,9.077,,,,
35,07/27/19 10:00:00  PM,8.082,,,,
36,07/27/19 11:00:00  PM,6.978,,,,
37,07/28/19 12:00:00  AM,6.370,,,,
38,07/28/19 01:00:00  AM,5.757,,,,
39,07/28/19 02:00:00  AM,5.347,,,,
40,07/28/19 03:00:00  AM,4.727,,,,
41,07/28/19 04:00:00  AM,4.415,,,,
42,07/28/19 05:00:00  AM,4.207,,,,
43,07/28/19 06:00:00  AM,4.311,,,,
44,07/28/19 07:00:00  AM,4.623,,,,
45,07/28/19 08:00:00  AM,5.347,,,,
46,07/28/19 09:00:00  AM,7.280,,,,
47,07/28/19 10:00:00  AM,9.669,,,,
48,07/28/19 11:00:00  AM,12.883,,,,
49,07/28/19 12:00:00  PM,21.282,,,,
50,07/28/19 01:00:00  PM,26.781,,,,
51,07/28/19 02:00:00  PM,25.222,,,,
52,07/28/19 03:00:00  PM,19.187,,,,
53,07/28/19 04:00:00  PM,23.484,,,,
54,07/28/19 05:00:00  PM,28.456,,,,
55,07/28/19 06:00:00  PM,17.284,,,,
56,07/28/19 07:00:00  PM,15.091,,,,
57,07/28/19 08:00:00  PM,12.594,,,,
58,07/28/19 09:00:00  PM,10.944,,,,
59,07/28/19 10:00:00  PM,9.571,,,,
60,07/28/19 11:00:00  PM,8.680,,,,
61,07/29/19 12:00:00  AM,8.082,,,,
62,07/29/19 01:00:00  AM,7.280,,,,
63,07/29/19 02:00:00  AM,6.775,,,,
64,07/29/19 03:00:00  AM,6.573,,,,
65,07/29/19 04:00:00  AM,6.268,,,,
66,07/29/19 05:00:00  AM,6.166,,,,
67,07/29/19 06:00:00  AM,6.064,,,,
68,07/29/19 07:00:00  AM,6.268,,,,
69,07/29/19 08:00:00  AM,6.877,,,,
70,07/29/19 09:00:00  AM,8.779,,,,
71,07/29/19 10:00:00  AM,10.944,,,,
72,07/29/19 11:00:00  AM,14.517,,,,
73,07/29/19 12:00:00  PM,22.525,,,,
74,07/29/19 01:00:00  PM,26.390,,,,
75,07/29/19 02:00:00  PM,24.255,,,,
76,07/29/19 03:00:00  PM,18.331,,,,
77,07/29/19 04:00:00  PM,24.931,,,,
78,07/29/19 05:00:00  PM,27.272,,,,
79,07/29/19 06:00:00  PM,16.618,,,,
80,07/29/19 07:00:00  PM,14.421,,,,
81,07/29/19 08:00:00  PM,13.365,,,,
82,07/29/19 09:00:00  PM,12.497,,,,
83,07/29/19 10:00:00  PM,10.553,,,,
84,07/29/19 11:00:00  PM,9.176,,,,
85,07/30/19 12:00:00  AM,8.680,,,,
86,07/30/19 01:00:00  AM,7.782,,,,
87,07/30/19 02:00:00  AM,7.983,,,,
88,07/30/19 03:00:00  AM,8.082,,,,
89,07/30/19 04:00:00  AM,8.082,,,,
90,07/30/19 05:00:00  AM,8.082,,,,
91,07/30/19 06:00:00  AM,8.082,,,,
92,07/30/19 07:00:00  AM,8.382,,,,
93,07/30/19 08:00:00  AM,9.373,,,,
94,07/30/19 09:00:00  AM,10.455,,,,
95,07/30/19 10:00:00  AM,9.768,,,,
96,07/30/19 11:00:00  AM,11.041,,,,
97,07/30/19 12:00:00  PM,10.553,,,,
98,07/30/19 01:00:00  PM,10.944,,,,
99,07/30/19 02:00:00  PM,10.944,,,,
100,07/30/19 03:00:00  PM,11.334,,,,
101,07/30/19 04:00:00  PM,12.110,,,,
102,07/30/19 05:00:00  PM,10.944,,,,
103,07/30/19 06:00:00  PM,10.161,,,,
104,07/30/19 07:00:00  PM,9.866,,,,
105,07/30/19 08:00:00  PM,9.275,,,,
106,07/30/19 09:00:00  PM,9.077,,,,
107,07/30/19 10:00:00  PM,8.978,,,,
108,07/30/19 11:00:00  PM,8.382,,,,
109,07/31/19 12:00:00  AM,8.581,,,,
110,07/31/19 01:00:00  AM,8.779,,,,
111,07/31/19 02:00:00  AM,8.282,,,,
112,07/31/19 03:00:00  AM,7.782,,,,
113,07/31/19 04:00:00  AM,7.882,,,,
114,07/31/19 05:00:00  AM,8.282,,,,
115,07/31/19 06:00:00  AM,8.282,,,,
116,07/31/19 07:00:00  AM,8.082,,,,
117,07/31/19 08:00:00  AM,9.373,,,,
118,07/31/19 09:00:00  AM,10.357,,,,
119,07/31/19 10:00:00  AM,10.944,,,,
120,07/31/19 11:00:00  AM,13.076,,,,
121,07/31/19 12:00:00  PM,14.421,,,,
122,07/31/19 01:00:00  PM,18.236,,,,
123,07/31/19 02:00:00  PM,16.141,,,,
124,07/31/19 03:00:00  PM,17.855,,,,
125,07/31/19 04:00:00  PM,16.523,,,,
126,07/31/19 05:00:00  PM,18.140,,,,
127,07/31/19 06:00:00  PM,15.951,,,,
128,07/31/19 07:00:00  PM,13.461,,,,
129,07/31/19 08:00:00  PM,11.334,,,,
130,07/31/19 09:00:00  PM,9.176,,,,
131,07/31/19 10:00:00  PM,7.983,,,,
132,07/31/19 11:00:00  PM,7.782,,,,
133,08/01/19 12:00:00  AM,7.280,,,,
134,08/01/19 01:00:00  AM,7.079,,,,
135,08/01/19 02:00:00  AM,6.674,,,,
136,08/01/19 03:00:00  AM,6.573,,,,
137,08/01/19 04:00:00  AM,6.674,,,,
138,08/01/19 05:00:00  AM,6.978,,,,
139,08/01/19 06:00:00  AM,6.978,,,,
140,08/01/19 07:00:00  AM,7.179,,,,
141,08/01/19 08:00:00  AM,8.481,,,,
