"Plot Title: garibaldi_hobo_3_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10208384, SEN S/N: 10208384)","Coupler Attached (LGR S/N: 10208384)","Host Connected (LGR S/N: 10208384)","Stopped (LGR S/N: 10208384)","End Of File (LGR S/N: 10208384)"
1,07/26/19 12:00:00  PM,18.426,,,,
2,07/26/19 01:00:00  PM,19.567,,,,
3,07/26/19 02:00:00  PM,24.641,,,,
4,07/26/19 03:00:00  PM,26.683,,,,
5,07/26/19 04:00:00  PM,20.901,,,,
6,07/26/19 05:00:00  PM,22.429,,,,
7,07/26/19 06:00:00  PM,17.760,,,,
8,07/26/19 07:00:00  PM,16.523,,,,
9,07/26/19 08:00:00  PM,15.187,,,,
10,07/26/19 09:00:00  PM,13.750,,,,
11,07/26/19 10:00:00  PM,13.173,,,,
12,07/26/19 11:00:00  PM,12.401,,,,
13,07/27/19 12:00:00  AM,11.916,,,,
14,07/27/19 01:00:00  AM,11.334,,,,
15,07/27/19 02:00:00  AM,11.041,,,,
16,07/27/19 03:00:00  AM,10.357,,,,
17,07/27/19 04:00:00  AM,9.669,,,,
18,07/27/19 05:00:00  AM,8.978,,,,
19,07/27/19 06:00:00  AM,8.779,,,,
20,07/27/19 07:00:00  AM,9.472,,,,
21,07/27/19 08:00:00  AM,10.161,,,,
22,07/27/19 09:00:00  AM,10.455,,,,
23,07/27/19 10:00:00  AM,12.401,,,,
24,07/27/19 11:00:00  AM,13.076,,,,
25,07/27/19 12:00:00  PM,14.804,,,,
26,07/27/19 01:00:00  PM,16.046,,,,
27,07/27/19 02:00:00  PM,16.999,,,,
28,07/27/19 03:00:00  PM,18.331,,,,
29,07/27/19 04:00:00  PM,14.709,,,,
30,07/27/19 05:00:00  PM,14.134,,,,
31,07/27/19 06:00:00  PM,13.269,,,,
32,07/27/19 07:00:00  PM,12.690,,,,
33,07/27/19 08:00:00  PM,12.304,,,,
34,07/27/19 09:00:00  PM,10.748,,,,
35,07/27/19 10:00:00  PM,10.161,,,,
36,07/27/19 11:00:00  PM,9.571,,,,
37,07/28/19 12:00:00  AM,8.879,,,,
38,07/28/19 01:00:00  AM,8.182,,,,
39,07/28/19 02:00:00  AM,7.682,,,,
40,07/28/19 03:00:00  AM,7.179,,,,
41,07/28/19 04:00:00  AM,6.775,,,,
42,07/28/19 05:00:00  AM,6.573,,,,
43,07/28/19 06:00:00  AM,6.370,,,,
44,07/28/19 07:00:00  AM,6.978,,,,
45,07/28/19 08:00:00  AM,7.381,,,,
46,07/28/19 09:00:00  AM,8.082,,,,
47,07/28/19 10:00:00  AM,10.846,,,,
48,07/28/19 11:00:00  AM,14.134,,,,
49,07/28/19 12:00:00  PM,16.713,,,,
50,07/28/19 01:00:00  PM,19.282,,,,
51,07/28/19 02:00:00  PM,29.752,,,,
52,07/28/19 03:00:00  PM,30.255,,,,
53,07/28/19 04:00:00  PM,27.173,,,,
54,07/28/19 05:00:00  PM,27.961,,,,
55,07/28/19 06:00:00  PM,23.292,,,,
56,07/28/19 07:00:00  PM,17.950,,,,
57,07/28/19 08:00:00  PM,15.473,,,,
58,07/28/19 09:00:00  PM,13.942,,,,
59,07/28/19 10:00:00  PM,12.594,,,,
60,07/28/19 11:00:00  PM,11.722,,,,
61,07/29/19 12:00:00  AM,10.748,,,,
62,07/29/19 01:00:00  AM,10.063,,,,
63,07/29/19 02:00:00  AM,9.571,,,,
64,07/29/19 03:00:00  AM,9.077,,,,
65,07/29/19 04:00:00  AM,8.680,,,,
66,07/29/19 05:00:00  AM,8.382,,,,
67,07/29/19 06:00:00  AM,8.282,,,,
68,07/29/19 07:00:00  AM,8.680,,,,
69,07/29/19 08:00:00  AM,8.978,,,,
70,07/29/19 09:00:00  AM,9.768,,,,
71,07/29/19 10:00:00  AM,12.980,,,,
72,07/29/19 11:00:00  AM,16.237,,,,
73,07/29/19 12:00:00  PM,18.331,,,,
74,07/29/19 01:00:00  PM,20.901,,,,
75,07/29/19 02:00:00  PM,31.880,,,,
76,07/29/19 03:00:00  PM,22.812,,,,
77,07/29/19 04:00:00  PM,28.853,,,,
78,07/29/19 05:00:00  PM,31.166,,,,
79,07/29/19 06:00:00  PM,29.053,,,,
80,07/29/19 07:00:00  PM,20.615,,,,
81,07/29/19 08:00:00  PM,16.903,,,,
82,07/29/19 09:00:00  PM,15.187,,,,
83,07/29/19 10:00:00  PM,13.846,,,,
84,07/29/19 11:00:00  PM,13.076,,,,
85,07/30/19 12:00:00  AM,12.401,,,,
86,07/30/19 01:00:00  AM,11.528,,,,
87,07/30/19 02:00:00  AM,11.334,,,,
88,07/30/19 03:00:00  AM,11.334,,,,
89,07/30/19 04:00:00  AM,11.139,,,,
90,07/30/19 05:00:00  AM,11.041,,,,
91,07/30/19 06:00:00  AM,11.236,,,,
92,07/30/19 07:00:00  AM,11.139,,,,
93,07/30/19 08:00:00  AM,11.528,,,,
94,07/30/19 09:00:00  AM,11.916,,,,
95,07/30/19 10:00:00  AM,11.334,,,,
96,07/30/19 11:00:00  AM,12.787,,,,
97,07/30/19 12:00:00  PM,12.110,,,,
98,07/30/19 01:00:00  PM,12.013,,,,
99,07/30/19 02:00:00  PM,12.110,,,,
100,07/30/19 03:00:00  PM,13.365,,,,
101,07/30/19 04:00:00  PM,13.750,,,,
102,07/30/19 05:00:00  PM,12.594,,,,
103,07/30/19 06:00:00  PM,11.431,,,,
104,07/30/19 07:00:00  PM,11.236,,,,
105,07/30/19 08:00:00  PM,10.651,,,,
106,07/30/19 09:00:00  PM,10.357,,,,
107,07/30/19 10:00:00  PM,10.357,,,,
108,07/30/19 11:00:00  PM,10.259,,,,
109,07/31/19 12:00:00  AM,10.259,,,,
110,07/31/19 01:00:00  AM,10.259,,,,
111,07/31/19 02:00:00  AM,10.161,,,,
112,07/31/19 03:00:00  AM,10.161,,,,
113,07/31/19 04:00:00  AM,10.161,,,,
114,07/31/19 05:00:00  AM,10.063,,,,
115,07/31/19 06:00:00  AM,9.965,,,,
116,07/31/19 07:00:00  AM,10.455,,,,
117,07/31/19 08:00:00  AM,11.334,,,,
118,07/31/19 09:00:00  AM,11.819,,,,
119,07/31/19 10:00:00  AM,12.013,,,,
120,07/31/19 11:00:00  AM,13.846,,,,
121,07/31/19 12:00:00  PM,14.996,,,,
122,07/31/19 01:00:00  PM,16.808,,,,
123,07/31/19 02:00:00  PM,17.284,,,,
124,07/31/19 03:00:00  PM,17.855,,,,
125,07/31/19 04:00:00  PM,17.284,,,,
126,07/31/19 05:00:00  PM,22.908,,,,
127,07/31/19 06:00:00  PM,23.196,,,,
128,07/31/19 07:00:00  PM,16.141,,,,
129,07/31/19 08:00:00  PM,14.804,,,,
130,07/31/19 09:00:00  PM,12.497,,,,
131,07/31/19 10:00:00  PM,11.334,,,,
132,07/31/19 11:00:00  PM,10.748,,,,
133,08/01/19 12:00:00  AM,10.063,,,,
134,08/01/19 01:00:00  AM,9.571,,,,
135,08/01/19 02:00:00  AM,9.275,,,,
136,08/01/19 03:00:00  AM,9.077,,,,
137,08/01/19 04:00:00  AM,9.077,,,,
138,08/01/19 05:00:00  AM,9.176,,,,
139,08/01/19 06:00:00  AM,9.275,,,,
140,08/01/19 07:00:00  AM,9.373,,,,
141,08/01/19 08:00:00  AM,10.455,,,,
142,08/01/19 09:00:00  AM,11.819,,,,
143,08/01/19 10:00:00  AM,11.236,,,,
144,08/01/19 11:00:00  AM,11.819,,,,
145,08/01/19 12:00:00  PM,11.819,,,,
146,08/01/19 01:00:00  PM,12.013,,,,
147,08/01/19 02:00:00  PM,13.269,,,,
148,08/01/19 03:00:00  PM,14.230,,,,
149,08/01/19 04:00:00  PM,13.365,,,,
150,08/01/19 05:00:00  PM,12.883,,,,
151,08/01/19 06:00:00  PM,12.497,,,,
152,08/01/19 07:00:00  PM,12.594,,,,
153,08/01/19 08:00:00  PM,11.916,,,,
154,08/01/19 09:00:00  PM,11.431,,,,
155,08/01/19 10:00:00  PM,11.625,,,,
156,08/01/19 11:00:00  PM,12.013,,,,
157,08/02/19 12:00:00  AM,11.334,,,,
158,08/02/19 01:00:00  AM,11.139,,,,
159,08/02/19 02:00:00  AM,11.041,,,,
160,08/02/19 03:00:00  AM,10.748,,,,
161,08/02/19 04:00:00  AM,10.553,,,,
162,08/02/19 05:00:00  AM,10.357,,,,
163,08/02/19 06:00:00  AM,10.357,,,,
164,08/02/19 07:00:00  AM,10.455,,,,
165,08/02/19 08:00:00  AM,10.063,,,,
166,08/02/19 09:00:00  AM,9.669,,,,
167,08/02/19 10:00:00  AM,9.472,,,,
168,08/02/19 11:00:00  AM,9.768,,,,
169,08/02/19 12:00:00  PM,10.651,,,,
170,08/02/19 01:00:00  PM,15.378,,,,
171,08/02/19 02:00:00  PM,16.332,,,,
172,08/02/19 03:00:00  PM,15.282,,,,
173,08/02/19 04:00:00  PM,20.615,,,,
174,08/02/19 05:00:00  PM,24.545,,,,
175,08/02/19 06:00:00  PM,16.427,,,,
176,08/02/19 07:00:00  PM,14.804,,,,
177,08/02/19 08:00:00  PM,11.722,,,,
178,08/02/19 09:00:00  PM,11.041,,,,
179,08/02/19 10:00:00  PM,10.748,,,,
180,08/02/19 11:00:00  PM,9.571,,,,
181,08/03/19 12:00:00  AM,8.680,,,,
182,08/03/19 01:00:00  AM,8.082,,,,
183,08/03/19 02:00:00  AM,7.481,,,,
184,08/03/19 03:00:00  AM,7.079,,,,
185,08/03/19 04:00:00  AM,6.674,,,,
186,08/03/19 05:00:00  AM,6.370,,,,
187,08/03/19 06:00:00  AM,5.962,,,,
188,08/03/19 07:00:00  AM,6.370,,,,
189,08/03/19 08:00:00  AM,6.877,,,,
190,08/03/19 09:00:00  AM,7.582,,,,
191,08/03/19 10:00:00  AM,12.690,,,,
192,08/03/19 11:00:00  AM,34.268,,,,
193,08/03/19 12:00:00  PM,37.935,,,,
194,08/03/19 01:00:00  PM,41.108,,,,
195,08/03/19 02:00:00  PM,41.458,,,,
196,08/03/19 03:00:00  PM,37.494,,,,
197,08/03/19 04:00:00  PM,25.610,,,,
198,08/03/19 05:00:00  PM,23.581,,,,
199,08/03/19 06:00:00  PM,20.519,,,,
200,08/03/19 07:00:00  PM,18.140,,,,
201,08/03/19 08:00:00  PM,14.517,,,,
202,08/03/19 09:00:00  PM,12.207,,,,
203,08/03/19 10:00:00  PM,10.748,,,,
204,08/03/19 11:00:00  PM,9.768,,,,
205,08/04/19 12:00:00  AM,9.669,,,,
206,08/04/19 01:00:00  AM,9.176,,,,
207,08/04/19 02:00:00  AM,8.182,,,,
208,08/04/19 03:00:00  AM,8.182,,,,
209,08/04/19 04:00:00  AM,7.481,,,,
210,08/04/19 05:00:00  AM,8.182,,,,
211,08/04/19 06:00:00  AM,8.879,,,,
212,08/04/19 07:00:00  AM,9.571,,,,
213,08/04/19 08:00:00  AM,9.866,,,,
214,08/04/19 09:00:00  AM,10.357,,,,
215,08/04/19 10:00:00  AM,31.676,,,,
216,08/04/19 11:00:00  AM,37.494,,,,
217,08/04/19 12:00:00  PM,40.530,,,,
218,08/04/19 01:00:00  PM,42.878,,,,
219,08/04/19 02:00:00  PM,43.601,,,,
220,08/04/19 03:00:00  PM,39.957,,,,
221,08/04/19 04:00:00  PM,32.394,,,,
222,08/04/19 05:00:00  PM,27.272,,,,
223,08/04/19 06:00:00  PM,24.448,,,,
224,08/04/19 07:00:00  PM,21.282,,,,
225,08/04/19 08:00:00  PM,16.332,,,,
226,08/04/19 09:00:00  PM,13.846,,,,
227,08/04/19 10:00:00  PM,12.207,,,,
228,08/04/19 11:00:00  PM,11.528,,,,
229,08/05/19 12:00:00  AM,10.357,,,,
230,08/05/19 01:00:00  AM,9.866,,,,
231,08/05/19 02:00:00  AM,9.077,,,,
232,08/05/19 03:00:00  AM,8.779,,,,
233,08/05/19 04:00:00  AM,8.680,,,,
234,08/05/19 05:00:00  AM,8.282,,,,
235,08/05/19 06:00:00  AM,8.082,,,,
236,08/05/19 07:00:00  AM,8.779,,,,
237,08/05/19 08:00:00  AM,9.373,,,,
238,08/05/19 09:00:00  AM,9.965,,,,
239,08/05/19 10:00:00  AM,35.649,,,,
240,08/05/19 11:00:00  AM,42.998,,,,
241,08/05/19 12:00:00  PM,44.211,,,,
242,08/05/19 01:00:00  PM,46.083,,,,
243,08/05/19 02:00:00  PM,46.465,,,,
244,08/05/19 03:00:00  PM,42.758,,,,
245,08/05/19 04:00:00  PM,34.479,,,,
246,08/05/19 05:00:00  PM,29.452,,,,
247,08/05/19 06:00:00  PM,26.585,,,,
248,08/05/19 07:00:00  PM,23.196,,,,
249,08/05/19 08:00:00  PM,18.426,,,,
250,08/05/19 09:00:00  PM,15.855,,,,
251,08/05/19 10:00:00  PM,14.038,,,,
252,08/05/19 11:00:00  PM,12.883,,,,
253,08/06/19 12:00:00  AM,12.013,,,,
254,08/06/19 01:00:00  AM,11.236,,,,
255,08/06/19 02:00:00  AM,10.748,,,,
256,08/06/19 03:00:00  AM,10.161,,,,
257,08/06/19 04:00:00  AM,10.063,,,,
258,08/06/19 05:00:00  AM,9.176,,,,
259,08/06/19 06:00:00  AM,8.879,,,,
260,08/06/19 07:00:00  AM,9.373,,,,
261,08/06/19 08:00:00  AM,9.965,,,,
262,08/06/19 09:00:00  AM,10.553,,,,
263,08/06/19 10:00:00  AM,36.837,,,,
264,08/06/19 11:00:00  AM,43.359,,,,
265,08/06/19 12:00:00  PM,44.580,,,,
266,08/06/19 01:00:00  PM,48.155,,,,
267,08/06/19 02:00:00  PM,47.892,,,,
268,08/06/19 03:00:00  PM,44.089,,,,
269,08/06/19 04:00:00  PM,36.187,,,,
270,08/06/19 05:00:00  PM,30.862,,,,
271,08/06/19 06:00:00  PM,28.060,,,,
272,08/06/19 07:00:00  PM,24.448,,,,
273,08/06/19 08:00:00  PM,19.567,,,,
274,08/06/19 09:00:00  PM,16.713,,,,
275,08/06/19 10:00:00  PM,14.900,,,,
276,08/06/19 11:00:00  PM,13.846,,,,
277,08/07/19 12:00:00  AM,13.076,,,,
278,08/07/19 01:00:00  AM,12.497,,,,
279,08/07/19 02:00:00  AM,11.916,,,,
280,08/07/19 03:00:00  AM,11.431,,,,
281,08/07/19 04:00:00  AM,11.041,,,,
282,08/07/19 05:00:00  AM,10.259,,,,
283,08/07/19 06:00:00  AM,9.866,,,,
284,08/07/19 07:00:00  AM,10.161,,,,
285,08/07/19 08:00:00  AM,10.748,,,,
286,08/07/19 09:00:00  AM,11.528,,,,
287,08/07/19 10:00:00  AM,37.384,,,,
288,08/07/19 11:00:00  AM,42.520,,,,
289,08/07/19 12:00:00  PM,45.326,,,,
290,08/07/19 01:00:00  PM,48.155,,,,
291,08/07/19 02:00:00  PM,49.360,,,,
292,08/07/19 03:00:00  PM,47.109,,,,
293,08/07/19 04:00:00  PM,40.530,,,,
294,08/07/19 05:00:00  PM,31.574,,,,
295,08/07/19 06:00:00  PM,27.862,,,,
296,08/07/19 07:00:00  PM,24.255,,,,
297,08/07/19 08:00:00  PM,19.758,,,,
298,08/07/19 09:00:00  PM,17.284,,,,
299,08/07/19 10:00:00  PM,15.760,,,,
300,08/07/19 11:00:00  PM,14.421,,,,
301,08/08/19 12:00:00  AM,13.558,,,,
302,08/08/19 01:00:00  AM,12.594,,,,
303,08/08/19 02:00:00  AM,11.722,,,,
304,08/08/19 03:00:00  AM,11.236,,,,
305,08/08/19 04:00:00  AM,10.553,,,,
306,08/08/19 05:00:00  AM,9.965,,,,
307,08/08/19 06:00:00  AM,9.669,,,,
308,08/08/19 07:00:00  AM,9.965,,,,
309,08/08/19 08:00:00  AM,11.236,,,,
310,08/08/19 09:00:00  AM,11.819,,,,
311,08/08/19 10:00:00  AM,42.046,,,,
312,08/08/19 11:00:00  AM,44.211,,,,
313,08/08/19 12:00:00  PM,45.326,,,,
314,08/08/19 01:00:00  PM,40.185,,,,
315,08/08/19 02:00:00  PM,31.370,,,,
316,08/08/19 03:00:00  PM,31.472,,,,
317,08/08/19 04:00:00  PM,32.497,,,,
318,08/08/19 05:00:00  PM,32.291,,,,
319,08/08/19 06:00:00  PM,29.452,,,,
320,08/08/19 07:00:00  PM,24.545,,,,
321,08/08/19 08:00:00  PM,20.329,,,,
322,08/08/19 09:00:00  PM,18.521,,,,
323,08/08/19 10:00:00  PM,16.903,,,,
324,08/08/19 11:00:00  PM,15.855,,,,
325,08/09/19 12:00:00  AM,14.709,,,,
326,08/09/19 01:00:00  AM,13.654,,,,
327,08/09/19 02:00:00  AM,14.421,,,,
328,08/09/19 03:00:00  AM,12.787,,,,
329,08/09/19 04:00:00  AM,12.207,,,,
330,08/09/19 05:00:00  AM,12.207,,,,
331,08/09/19 06:00:00  AM,12.497,,,,
332,08/09/19 07:00:00  AM,12.690,,,,
333,08/09/19 08:00:00  AM,13.942,,,,
334,08/09/19 09:00:00  AM,15.091,,,,
335,08/09/19 10:00:00  AM,15.473,,,,
336,08/09/19 11:00:00  AM,18.045,,,,
337,08/09/19 12:00:00  PM,19.377,,,,
338,08/09/19 01:00:00  PM,23.100,,,,
339,08/09/19 02:00:00  PM,21.187,,,,
340,08/09/19 03:00:00  PM,25.222,,,,
341,08/09/19 04:00:00  PM,27.272,,,,
342,08/09/19 05:00:00  PM,28.159,,,,
343,08/09/19 06:00:00  PM,26.683,,,,
344,08/09/19 07:00:00  PM,22.238,,,,
345,08/09/19 08:00:00  PM,18.236,,,,
346,08/09/19 09:00:00  PM,16.427,,,,
347,08/09/19 10:00:00  PM,15.473,,,,
348,08/09/19 11:00:00  PM,13.942,,,,
349,08/10/19 12:00:00  AM,14.325,,,,
350,08/10/19 01:00:00  AM,14.230,,,,
351,08/10/19 02:00:00  AM,12.787,,,,
352,08/10/19 03:00:00  AM,13.173,,,,
353,08/10/19 04:00:00  AM,13.365,,,,
354,08/10/19 05:00:00  AM,12.787,,,,
355,08/10/19 06:00:00  AM,12.594,,,,
356,08/10/19 07:00:00  AM,13.558,,,,
357,08/10/19 08:00:00  AM,14.230,,,,
358,08/10/19 09:00:00  AM,15.569,,,,
359,08/10/19 10:00:00  AM,15.473,,,,
360,08/10/19 11:00:00  AM,14.900,,,,
361,08/10/19 12:00:00  PM,14.996,,,,
362,08/10/19 01:00:00  PM,19.662,,,,
363,08/10/19 02:00:00  PM,16.808,,,,
364,08/10/19 03:00:00  PM,18.045,,,,
365,08/10/19 04:00:00  PM,23.869,,,,
366,08/10/19 05:00:00  PM,21.664,,,,
367,08/10/19 06:00:00  PM,16.999,,,,
368,08/10/19 07:00:00  PM,14.709,,,,
369,08/10/19 08:00:00  PM,14.134,,,,
370,08/10/19 09:00:00  PM,13.750,,,,
371,08/10/19 10:00:00  PM,13.173,,,,
372,08/10/19 11:00:00  PM,12.883,,,,
373,08/11/19 12:00:00  AM,12.497,,,,
374,08/11/19 01:00:00  AM,12.207,,,,
375,08/11/19 02:00:00  AM,12.013,,,,
376,08/11/19 03:00:00  AM,12.013,,,,
377,08/11/19 04:00:00  AM,11.722,,,,
