"Plot Title: garibaldi_hobo_6_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019732, SEN S/N: 10019732, LBL: Temp)","Coupler Attached (LGR S/N: 10019732)","Host Connected (LGR S/N: 10019732)","Stopped (LGR S/N: 10019732)","End Of File (LGR S/N: 10019732)"
1,07/26/19 12:00:00  PM,24.931,,,,
2,07/26/19 01:00:00  PM,26.292,,,,
3,07/26/19 02:00:00  PM,28.159,,,,
4,07/26/19 03:00:00  PM,28.754,,,,
5,07/26/19 04:00:00  PM,25.805,,,,
6,07/26/19 05:00:00  PM,27.370,,,,
7,07/26/19 06:00:00  PM,19.377,,,,
8,07/26/19 07:00:00  PM,17.665,,,,
9,07/26/19 08:00:00  PM,14.709,,,,
10,07/26/19 09:00:00  PM,13.076,,,,
11,07/26/19 10:00:00  PM,11.916,,,,
12,07/26/19 11:00:00  PM,11.236,,,,
13,07/27/19 12:00:00  AM,11.139,,,,
14,07/27/19 01:00:00  AM,11.041,,,,
15,07/27/19 02:00:00  AM,10.553,,,,
16,07/27/19 03:00:00  AM,9.669,,,,
17,07/27/19 04:00:00  AM,8.879,,,,
18,07/27/19 05:00:00  AM,7.481,,,,
19,07/27/19 06:00:00  AM,7.782,,,,
20,07/27/19 07:00:00  AM,8.382,,,,
21,07/27/19 08:00:00  AM,9.571,,,,
22,07/27/19 09:00:00  AM,9.275,,,,
23,07/27/19 10:00:00  AM,18.521,,,,
24,07/27/19 11:00:00  AM,19.948,,,,
25,07/27/19 12:00:00  PM,25.805,,,,
26,07/27/19 01:00:00  PM,27.370,,,,
27,07/27/19 02:00:00  PM,25.319,,,,
28,07/27/19 03:00:00  PM,25.125,,,,
29,07/27/19 04:00:00  PM,17.570,,,,
30,07/27/19 05:00:00  PM,16.332,,,,
31,07/27/19 06:00:00  PM,14.804,,,,
32,07/27/19 07:00:00  PM,14.134,,,,
33,07/27/19 08:00:00  PM,13.269,,,,
34,07/27/19 09:00:00  PM,10.161,,,,
35,07/27/19 10:00:00  PM,9.176,,,,
36,07/27/19 11:00:00  PM,7.983,,,,
37,07/28/19 12:00:00  AM,7.280,,,,
38,07/28/19 01:00:00  AM,6.674,,,,
39,07/28/19 02:00:00  AM,6.166,,,,
40,07/28/19 03:00:00  AM,5.552,,,,
41,07/28/19 04:00:00  AM,5.244,,,,
42,07/28/19 05:00:00  AM,5.037,,,,
43,07/28/19 06:00:00  AM,4.831,,,,
44,07/28/19 07:00:00  AM,5.552,,,,
45,07/28/19 08:00:00  AM,6.064,,,,
46,07/28/19 09:00:00  AM,7.582,,,,
47,07/28/19 10:00:00  AM,18.711,,,,
48,07/28/19 11:00:00  AM,25.513,,,,
49,07/28/19 12:00:00  PM,28.456,,,,
50,07/28/19 01:00:00  PM,28.853,,,,
51,07/28/19 02:00:00  PM,33.222,,,,
52,07/28/19 03:00:00  PM,34.374,,,,
53,07/28/19 04:00:00  PM,31.370,,,,
54,07/28/19 05:00:00  PM,20.138,,,,
55,07/28/19 06:00:00  PM,17.570,,,,
56,07/28/19 07:00:00  PM,16.141,,,,
57,07/28/19 08:00:00  PM,13.173,,,,
58,07/28/19 09:00:00  PM,11.139,,,,
59,07/28/19 10:00:00  PM,10.063,,,,
60,07/28/19 11:00:00  PM,9.669,,,,
61,07/29/19 12:00:00  AM,8.680,,,,
62,07/29/19 01:00:00  AM,7.882,,,,
63,07/29/19 02:00:00  AM,7.280,,,,
64,07/29/19 03:00:00  AM,6.877,,,,
65,07/29/19 04:00:00  AM,6.674,,,,
66,07/29/19 05:00:00  AM,6.370,,,,
67,07/29/19 06:00:00  AM,6.268,,,,
68,07/29/19 07:00:00  AM,6.877,,,,
69,07/29/19 08:00:00  AM,7.481,,,,
70,07/29/19 09:00:00  AM,9.077,,,,
71,07/29/19 10:00:00  AM,19.472,,,,
72,07/29/19 11:00:00  AM,27.370,,,,
73,07/29/19 12:00:00  PM,29.552,,,,
74,07/29/19 01:00:00  PM,25.222,,,,
75,07/29/19 02:00:00  PM,28.258,,,,
76,07/29/19 03:00:00  PM,33.535,,,,
77,07/29/19 04:00:00  PM,33.953,,,,
78,07/29/19 05:00:00  PM,32.394,,,,
79,07/29/19 06:00:00  PM,17.855,,,,
80,07/29/19 07:00:00  PM,15.569,,,,
81,07/29/19 08:00:00  PM,14.421,,,,
82,07/29/19 09:00:00  PM,12.980,,,,
83,07/29/19 10:00:00  PM,11.722,,,,
84,07/29/19 11:00:00  PM,10.455,,,,
85,07/30/19 12:00:00  AM,10.161,,,,
86,07/30/19 01:00:00  AM,9.176,,,,
87,07/30/19 02:00:00  AM,9.373,,,,
88,07/30/19 03:00:00  AM,9.768,,,,
89,07/30/19 04:00:00  AM,9.768,,,,
90,07/30/19 05:00:00  AM,9.768,,,,
91,07/30/19 06:00:00  AM,9.866,,,,
92,07/30/19 07:00:00  AM,10.455,,,,
93,07/30/19 08:00:00  AM,12.013,,,,
94,07/30/19 09:00:00  AM,12.594,,,,
95,07/30/19 10:00:00  AM,12.594,,,,
96,07/30/19 11:00:00  AM,13.654,,,,
97,07/30/19 12:00:00  PM,12.207,,,,
98,07/30/19 01:00:00  PM,12.304,,,,
99,07/30/19 02:00:00  PM,13.654,,,,
100,07/30/19 03:00:00  PM,14.900,,,,
101,07/30/19 04:00:00  PM,14.613,,,,
102,07/30/19 05:00:00  PM,12.980,,,,
103,07/30/19 06:00:00  PM,11.722,,,,
104,07/30/19 07:00:00  PM,11.139,,,,
105,07/30/19 08:00:00  PM,10.748,,,,
106,07/30/19 09:00:00  PM,10.259,,,,
107,07/30/19 10:00:00  PM,10.063,,,,
108,07/30/19 11:00:00  PM,9.965,,,,
109,07/31/19 12:00:00  AM,9.768,,,,
110,07/31/19 01:00:00  AM,9.669,,,,
111,07/31/19 02:00:00  AM,9.571,,,,
112,07/31/19 03:00:00  AM,9.373,,,,
113,07/31/19 04:00:00  AM,9.275,,,,
114,07/31/19 05:00:00  AM,9.176,,,,
115,07/31/19 06:00:00  AM,9.176,,,,
116,07/31/19 07:00:00  AM,9.768,,,,
117,07/31/19 08:00:00  AM,10.748,,,,
118,07/31/19 09:00:00  AM,12.690,,,,
119,07/31/19 10:00:00  AM,12.207,,,,
120,07/31/19 11:00:00  AM,16.141,,,,
121,07/31/19 12:00:00  PM,16.523,,,,
122,07/31/19 01:00:00  PM,19.853,,,,
123,07/31/19 02:00:00  PM,19.092,,,,
124,07/31/19 03:00:00  PM,18.331,,,,
125,07/31/19 04:00:00  PM,17.855,,,,
126,07/31/19 05:00:00  PM,24.351,,,,
127,07/31/19 06:00:00  PM,17.094,,,,
128,07/31/19 07:00:00  PM,14.900,,,,
129,07/31/19 08:00:00  PM,12.304,,,,
130,07/31/19 09:00:00  PM,9.669,,,,
131,07/31/19 10:00:00  PM,8.680,,,,
132,07/31/19 11:00:00  PM,8.082,,,,
133,08/01/19 12:00:00  AM,7.882,,,,
134,08/01/19 01:00:00  AM,7.079,,,,
135,08/01/19 02:00:00  AM,7.079,,,,
136,08/01/19 03:00:00  AM,6.877,,,,
137,08/01/19 04:00:00  AM,7.179,,,,
138,08/01/19 05:00:00  AM,7.079,,,,
139,08/01/19 06:00:00  AM,7.481,,,,
140,08/01/19 07:00:00  AM,7.582,,,,
141,08/01/19 08:00:00  AM,10.063,,,,
