"Plot Title: garibaldi_hobo_14_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406797, SEN S/N: 10406797)","Host Connected (LGR S/N: 10406797)","Coupler Attached (LGR S/N: 10406797)","Stopped (LGR S/N: 10406797)","End Of File (LGR S/N: 10406797)"
1,08/30/19 12:00:00  PM,14.038,,,,
2,08/30/19 01:00:00  PM,15.473,,,,
3,08/30/19 02:00:00  PM,15.378,,,,
4,08/30/19 03:00:00  PM,13.461,,,,
5,08/30/19 04:00:00  PM,16.999,,,,
6,08/30/19 05:00:00  PM,15.951,,,,
7,08/30/19 06:00:00  PM,13.365,,,,
8,08/30/19 07:00:00  PM,12.883,,,,
9,08/30/19 08:00:00  PM,11.236,,,,
10,08/30/19 09:00:00  PM,10.748,,,,
11,08/30/19 10:00:00  PM,10.063,,,,
12,08/30/19 11:00:00  PM,10.357,,,,
13,08/31/19 12:00:00  AM,9.866,,,,
14,08/31/19 01:00:00  AM,9.373,,,,
15,08/31/19 02:00:00  AM,8.978,,,,
16,08/31/19 03:00:00  AM,7.381,,,,
17,08/31/19 04:00:00  AM,6.877,,,,
18,08/31/19 05:00:00  AM,7.481,,,,
19,08/31/19 06:00:00  AM,7.481,,,,
20,08/31/19 07:00:00  AM,7.582,,,,
21,08/31/19 08:00:00  AM,10.259,,,,
22,08/31/19 09:00:00  AM,16.618,,,,
23,08/31/19 10:00:00  AM,14.900,,,,
24,08/31/19 11:00:00  AM,16.903,,,,
25,08/31/19 12:00:00  PM,25.805,,,,
26,08/31/19 01:00:00  PM,26.488,,,,
27,08/31/19 02:00:00  PM,22.046,,,,
28,08/31/19 03:00:00  PM,19.282,,,,
29,08/31/19 04:00:00  PM,16.999,,,,
30,08/31/19 05:00:00  PM,17.379,,,,
31,08/31/19 06:00:00  PM,12.594,,,,
32,08/31/19 07:00:00  PM,11.722,,,,
33,08/31/19 08:00:00  PM,10.161,,,,
34,08/31/19 09:00:00  PM,9.571,,,,
35,08/31/19 10:00:00  PM,8.978,,,,
36,08/31/19 11:00:00  PM,9.472,,,,
37,09/01/19 12:00:00  AM,8.481,,,,
38,09/01/19 01:00:00  AM,8.182,,,,
39,09/01/19 02:00:00  AM,7.079,,,,
40,09/01/19 03:00:00  AM,8.481,,,,
41,09/01/19 04:00:00  AM,8.779,,,,
42,09/01/19 05:00:00  AM,8.182,,,,
43,09/01/19 06:00:00  AM,7.179,,,,
44,09/01/19 07:00:00  AM,8.082,,,,
45,09/01/19 08:00:00  AM,10.259,,,,
46,09/01/19 09:00:00  AM,12.110,,,,
47,09/01/19 10:00:00  AM,12.207,,,,
48,09/01/19 11:00:00  AM,11.625,,,,
49,09/01/19 12:00:00  PM,15.855,,,,
50,09/01/19 01:00:00  PM,16.903,,,,
51,09/01/19 02:00:00  PM,16.141,,,,
52,09/01/19 03:00:00  PM,13.173,,,,
53,09/01/19 04:00:00  PM,16.903,,,,
54,09/01/19 05:00:00  PM,12.594,,,,
55,09/01/19 06:00:00  PM,11.916,,,,
56,09/01/19 07:00:00  PM,10.063,,,,
57,09/01/19 08:00:00  PM,9.176,,,,
58,09/01/19 09:00:00  PM,8.581,,,,
59,09/01/19 10:00:00  PM,6.877,,,,
60,09/01/19 11:00:00  PM,4.727,,,,
61,09/02/19 12:00:00  AM,4.415,,,,
62,09/02/19 01:00:00  AM,4.415,,,,
63,09/02/19 02:00:00  AM,4.519,,,,
64,09/02/19 03:00:00  AM,4.207,,,,
65,09/02/19 04:00:00  AM,4.207,,,,
66,09/02/19 05:00:00  AM,3.788,,,,
67,09/02/19 06:00:00  AM,3.893,,,,
68,09/02/19 07:00:00  AM,4.207,,,,
69,09/02/19 08:00:00  AM,4.934,,,,
70,09/02/19 09:00:00  AM,16.618,,,,
71,09/02/19 10:00:00  AM,21.378,,,,
72,09/02/19 11:00:00  AM,26.000,,,,
73,09/02/19 12:00:00  PM,14.613,,,,
74,09/02/19 01:00:00  PM,20.805,,,,
75,09/02/19 02:00:00  PM,19.472,,,,
76,09/02/19 03:00:00  PM,15.569,,,,
77,09/02/19 04:00:00  PM,18.806,,,,
78,09/02/19 05:00:00  PM,18.996,,,,
79,09/02/19 06:00:00  PM,15.091,,,,
80,09/02/19 07:00:00  PM,12.207,,,,
81,09/02/19 08:00:00  PM,8.978,,,,
82,09/02/19 09:00:00  PM,8.082,,,,
83,09/02/19 10:00:00  PM,7.782,,,,
84,09/02/19 11:00:00  PM,6.166,,,,
85,09/03/19 12:00:00  AM,5.037,,,,
86,09/03/19 01:00:00  AM,5.860,,,,
87,09/03/19 02:00:00  AM,5.757,,,,
88,09/03/19 03:00:00  AM,4.934,,,,
89,09/03/19 04:00:00  AM,4.623,,,,
