"Plot Title: garibaldi_hobo_16_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406791, SEN S/N: 10406791)","Bad Battery (LGR S/N: 10406791)","Coupler Attached (LGR S/N: 10406791)","Host Connected (LGR S/N: 10406791)","Stopped (LGR S/N: 10406791)","End Of File (LGR S/N: 10406791)"
1,08/30/19 12:00:00  PM,14.804,,,,,
2,08/30/19 01:00:00  PM,14.038,,,,,
3,08/30/19 02:00:00  PM,14.230,,,,,
4,08/30/19 03:00:00  PM,12.787,,,,,
5,08/30/19 04:00:00  PM,15.951,,,,,
6,08/30/19 05:00:00  PM,15.951,,,,,
7,08/30/19 06:00:00  PM,12.207,,,,,
8,08/30/19 07:00:00  PM,11.431,,,,,
9,08/30/19 08:00:00  PM,10.161,,,,,
10,08/30/19 09:00:00  PM,8.779,,,,,
11,08/30/19 10:00:00  PM,8.581,,,,,
12,08/30/19 11:00:00  PM,8.978,,,,,
13,08/31/19 12:00:00  AM,9.275,,,,,
14,08/31/19 01:00:00  AM,8.581,,,,,
15,08/31/19 02:00:00  AM,7.882,,,,,
16,08/31/19 03:00:00  AM,7.079,,,,,
17,08/31/19 04:00:00  AM,6.370,,,,,
18,08/31/19 05:00:00  AM,6.573,,,,,
19,08/31/19 06:00:00  AM,6.775,,,,,
20,08/31/19 07:00:00  AM,6.674,,,,,
21,08/31/19 08:00:00  AM,8.779,,,,,
22,08/31/19 09:00:00  AM,11.722,,,,,
23,08/31/19 10:00:00  AM,13.654,,,,,
24,08/31/19 11:00:00  AM,16.808,,,,,
25,08/31/19 12:00:00  PM,22.908,,,,,
26,08/31/19 01:00:00  PM,27.370,,,,,
27,08/31/19 02:00:00  PM,22.812,,,,,
28,08/31/19 03:00:00  PM,21.951,,,,,
29,08/31/19 04:00:00  PM,16.523,,,,,
30,08/31/19 05:00:00  PM,17.379,,,,,
31,08/31/19 06:00:00  PM,12.497,,,,,
32,08/31/19 07:00:00  PM,11.236,,,,,
33,08/31/19 08:00:00  PM,9.965,,,,,
34,08/31/19 09:00:00  PM,9.275,,,,,
35,08/31/19 10:00:00  PM,8.779,,,,,
36,08/31/19 11:00:00  PM,7.882,,,,,
37,09/01/19 12:00:00  AM,6.978,,,,,
38,09/01/19 01:00:00  AM,6.775,,,,,
39,09/01/19 02:00:00  AM,6.268,,,,,
40,09/01/19 03:00:00  AM,7.179,,,,,
41,09/01/19 04:00:00  AM,7.381,,,,,
42,09/01/19 05:00:00  AM,7.481,,,,,
43,09/01/19 06:00:00  AM,6.166,,,,,
44,09/01/19 07:00:00  AM,6.166,,,,,
45,09/01/19 08:00:00  AM,8.082,,,,,
46,09/01/19 09:00:00  AM,11.041,,,,,
47,09/01/19 10:00:00  AM,11.722,,,,,
48,09/01/19 11:00:00  AM,10.063,,,,,
49,09/01/19 12:00:00  PM,14.709,,,,,
50,09/01/19 01:00:00  PM,15.664,,,,,
51,09/01/19 02:00:00  PM,16.046,,,,,
52,09/01/19 03:00:00  PM,12.980,,,,,
53,09/01/19 04:00:00  PM,16.237,,,,,
54,09/01/19 05:00:00  PM,12.304,,,,,
55,09/01/19 06:00:00  PM,11.528,,,,,
56,09/01/19 07:00:00  PM,10.161,,,,,
57,09/01/19 08:00:00  PM,7.882,,,,,
58,09/01/19 09:00:00  PM,6.978,,,,,
59,09/01/19 10:00:00  PM,5.244,,,,,
60,09/01/19 11:00:00  PM,5.141,,,,,
61,09/02/19 12:00:00  AM,3.788,,,,,
62,09/02/19 01:00:00  AM,3.998,,,,,
63,09/02/19 02:00:00  AM,3.683,,,,,
64,09/02/19 03:00:00  AM,3.893,,,,,
65,09/02/19 04:00:00  AM,3.367,,,,,
66,09/02/19 05:00:00  AM,3.472,,,,,
67,09/02/19 06:00:00  AM,2.943,,,,,
68,09/02/19 07:00:00  AM,3.578,,,,,
69,09/02/19 08:00:00  AM,4.311,,,,,
70,09/02/19 09:00:00  AM,5.037,,,,,
71,09/02/19 10:00:00  AM,17.189,,,,,
72,09/02/19 11:00:00  AM,21.855,,,,,
73,09/02/19 12:00:00  PM,13.750,,,,,
74,09/02/19 01:00:00  PM,14.709,,,,,
75,09/02/19 02:00:00  PM,17.855,,,,,
76,09/02/19 03:00:00  PM,18.045,,,,,
77,09/02/19 04:00:00  PM,23.292,,,,,
78,09/02/19 05:00:00  PM,23.292,,,,,
79,09/02/19 06:00:00  PM,15.569,,,,,
80,09/02/19 07:00:00  PM,20.996,,,,,
81,09/02/19 08:00:00  PM,9.176,,,,,
82,09/02/19 09:00:00  PM,7.481,,,,,
83,09/02/19 10:00:00  PM,6.775,,,,,
84,09/02/19 11:00:00  PM,7.882,,,,,
85,09/03/19 12:00:00  AM,7.582,,,,,
86,09/03/19 01:00:00  AM,6.877,,,,,
87,09/03/19 02:00:00  AM,6.166,,,,,
88,09/03/19 03:00:00  AM,6.370,,,,,
89,09/03/19 04:00:00  AM,6.775,,,,,
90,09/03/19 05:00:00  AM,6.471,,,,,
91,09/03/19 06:00:00  AM,8.879,,,,,
92,09/03/19 07:00:00  AM,9.472,,,,,
93,09/03/19 08:00:00  AM,7.782,,,,,
94,09/03/19 09:00:00  AM,9.768,,,,,
95,09/03/19 10:00:00  AM,20.805,,,,,
96,09/03/19 11:00:00  AM,20.138,,,,,
97,09/03/19 12:00:00  PM,20.424,,,,,
98,09/03/19 01:00:00  PM,30.356,,,,,
99,09/03/19 02:00:00  PM,18.045,,,,,
100,09/03/19 03:00:00  PM,20.710,,,,,
101,09/03/19 04:00:00  PM,27.075,,,,,
102,09/03/19 05:00:00  PM,12.207,,,,,
103,09/03/19 06:00:00  PM,9.571,,,,,
104,09/03/19 07:00:00  PM,8.680,,,,,
105,09/03/19 08:00:00  PM,8.581,,,,,
106,09/03/19 09:00:00  PM,7.079,,,,,
107,09/03/19 10:00:00  PM,6.471,,,,,
108,09/03/19 11:00:00  PM,6.166,,,,,
109,09/04/19 12:00:00  AM,5.962,,,,,
110,09/04/19 01:00:00  AM,5.860,,,,,
111,09/04/19 02:00:00  AM,5.037,,,,,
112,09/04/19 03:00:00  AM,6.064,,,,,
113,09/04/19 04:00:00  AM,6.573,,,,,
114,09/04/19 05:00:00  AM,6.370,,,,,
115,09/04/19 06:00:00  AM,5.244,,,,,
116,09/04/19 07:00:00  AM,4.415,,,,,
117,09/04/19 08:00:00  AM,6.573,,,,,
118,09/04/19 09:00:00  AM,6.471,,,,,
119,09/04/19 10:00:00  AM,16.999,,,,,
120,09/04/19 11:00:00  AM,15.664,,,,,
121,09/04/19 12:00:00  PM,15.187,,,,,
122,09/04/19 01:00:00  PM,15.091,,,,,
123,09/04/19 02:00:00  PM,16.237,,,,,
124,09/04/19 03:00:00  PM,21.282,,,,,
125,09/04/19 04:00:00  PM,26.781,,,,,
126,09/04/19 05:00:00  PM,26.781,,,,,
127,09/04/19 06:00:00  PM,23.581,,,,,
128,09/04/19 07:00:00  PM,25.708,,,,,
129,09/04/19 08:00:00  PM,9.077,,,,,
130,09/04/19 09:00:00  PM,7.079,,,,,
131,09/04/19 10:00:00  PM,6.877,,,,,
132,09/04/19 11:00:00  PM,6.268,,,,,
133,09/05/19 12:00:00  AM,5.347,,,,,
134,09/05/19 01:00:00  AM,4.623,,,,,
135,09/05/19 02:00:00  AM,3.788,,,,,
136,09/05/19 03:00:00  AM,4.311,,,,,
137,09/05/19 04:00:00  AM,3.472,,,,,
138,09/05/19 05:00:00  AM,3.893,,,,,
139,09/05/19 06:00:00  AM,2.624,,,,,
140,09/05/19 07:00:00  AM,3.788,,,,,
141,09/05/19 08:00:00  AM,3.998,,,,,
