"Plot Title: garibaldi_hobo_19_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019744, SEN S/N: 10019744)","Coupler Attached (LGR S/N: 10019744)","Host Connected (LGR S/N: 10019744)","Stopped (LGR S/N: 10019744)","End Of File (LGR S/N: 10019744)"
1,08/30/19 12:00:00  PM,16.999,,,,
2,08/30/19 01:00:00  PM,16.237,,,,
3,08/30/19 02:00:00  PM,14.804,,,,
4,08/30/19 03:00:00  PM,14.325,,,,
5,08/30/19 04:00:00  PM,18.236,,,,
6,08/30/19 05:00:00  PM,15.951,,,,
7,08/30/19 06:00:00  PM,13.750,,,,
8,08/30/19 07:00:00  PM,12.594,,,,
9,08/30/19 08:00:00  PM,10.259,,,,
10,08/30/19 09:00:00  PM,10.748,,,,
11,08/30/19 10:00:00  PM,10.357,,,,
12,08/30/19 11:00:00  PM,10.161,,,,
13,08/31/19 12:00:00  AM,9.866,,,,
14,08/31/19 01:00:00  AM,9.373,,,,
15,08/31/19 02:00:00  AM,8.680,,,,
16,08/31/19 03:00:00  AM,6.775,,,,
17,08/31/19 04:00:00  AM,6.674,,,,
18,08/31/19 05:00:00  AM,7.079,,,,
19,08/31/19 06:00:00  AM,7.179,,,,
20,08/31/19 07:00:00  AM,7.179,,,,
21,08/31/19 08:00:00  AM,10.748,,,,
22,08/31/19 09:00:00  AM,13.846,,,,
23,08/31/19 10:00:00  AM,15.187,,,,
24,08/31/19 11:00:00  AM,18.711,,,,
25,08/31/19 12:00:00  PM,25.416,,,,
26,08/31/19 01:00:00  PM,29.652,,,,
27,08/31/19 02:00:00  PM,29.652,,,,
28,08/31/19 03:00:00  PM,22.908,,,,
29,08/31/19 04:00:00  PM,17.284,,,,
30,08/31/19 05:00:00  PM,16.618,,,,
31,08/31/19 06:00:00  PM,12.401,,,,
32,08/31/19 07:00:00  PM,11.334,,,,
33,08/31/19 08:00:00  PM,10.063,,,,
34,08/31/19 09:00:00  PM,9.571,,,,
35,08/31/19 10:00:00  PM,8.182,,,,
36,08/31/19 11:00:00  PM,7.782,,,,
37,09/01/19 12:00:00  AM,6.370,,,,
38,09/01/19 01:00:00  AM,7.280,,,,
39,09/01/19 02:00:00  AM,5.450,,,,
40,09/01/19 03:00:00  AM,8.382,,,,
41,09/01/19 04:00:00  AM,8.680,,,,
42,09/01/19 05:00:00  AM,8.282,,,,
43,09/01/19 06:00:00  AM,4.934,,,,
44,09/01/19 07:00:00  AM,7.882,,,,
45,09/01/19 08:00:00  AM,10.063,,,,
46,09/01/19 09:00:00  AM,12.110,,,,
47,09/01/19 10:00:00  AM,12.980,,,,
48,09/01/19 11:00:00  AM,12.207,,,,
49,09/01/19 12:00:00  PM,16.808,,,,
50,09/01/19 01:00:00  PM,16.427,,,,
51,09/01/19 02:00:00  PM,17.094,,,,
52,09/01/19 03:00:00  PM,14.613,,,,
53,09/01/19 04:00:00  PM,17.189,,,,
54,09/01/19 05:00:00  PM,12.497,,,,
55,09/01/19 06:00:00  PM,11.916,,,,
56,09/01/19 07:00:00  PM,10.553,,,,
57,09/01/19 08:00:00  PM,9.176,,,,
58,09/01/19 09:00:00  PM,8.082,,,,
59,09/01/19 10:00:00  PM,5.552,,,,
60,09/01/19 11:00:00  PM,4.623,,,,
61,09/02/19 12:00:00  AM,4.102,,,,
62,09/02/19 01:00:00  AM,2.837,,,,
63,09/02/19 02:00:00  AM,3.893,,,,
64,09/02/19 03:00:00  AM,3.683,,,,
65,09/02/19 04:00:00  AM,3.261,,,,
66,09/02/19 05:00:00  AM,3.367,,,,
67,09/02/19 06:00:00  AM,3.578,,,,
68,09/02/19 07:00:00  AM,4.415,,,,
69,09/02/19 08:00:00  AM,5.037,,,,
70,09/02/19 09:00:00  AM,5.347,,,,
71,09/02/19 10:00:00  AM,23.581,,,,
72,09/02/19 11:00:00  AM,26.781,,,,
73,09/02/19 12:00:00  PM,18.616,,,,
74,09/02/19 01:00:00  PM,20.710,,,,
75,09/02/19 02:00:00  PM,30.963,,,,
76,09/02/19 03:00:00  PM,20.329,,,,
77,09/02/19 04:00:00  PM,21.951,,,,
78,09/02/19 05:00:00  PM,26.000,,,,
79,09/02/19 06:00:00  PM,16.141,,,,
80,09/02/19 07:00:00  PM,11.431,,,,
81,09/02/19 08:00:00  PM,9.571,,,,
82,09/02/19 09:00:00  PM,7.983,,,,
83,09/02/19 10:00:00  PM,5.037,,,,
84,09/02/19 11:00:00  PM,4.519,,,,
85,09/03/19 12:00:00  AM,4.311,,,,
86,09/03/19 01:00:00  AM,5.655,,,,
87,09/03/19 02:00:00  AM,6.370,,,,
88,09/03/19 03:00:00  AM,5.655,,,,
89,09/03/19 04:00:00  AM,5.552,,,,
90,09/03/19 05:00:00  AM,5.450,,,,
91,09/03/19 06:00:00  AM,5.244,,,,
92,09/03/19 07:00:00  AM,7.582,,,,
93,09/03/19 08:00:00  AM,8.082,,,,
94,09/03/19 09:00:00  AM,10.651,,,,
95,09/03/19 10:00:00  AM,26.879,,,,
96,09/03/19 11:00:00  AM,26.292,,,,
97,09/03/19 12:00:00  PM,21.473,,,,
98,09/03/19 01:00:00  PM,34.903,,,,
99,09/03/19 02:00:00  PM,19.472,,,,
100,09/03/19 03:00:00  PM,25.902,,,,
101,09/03/19 04:00:00  PM,23.196,,,,
102,09/03/19 05:00:00  PM,12.980,,,,
103,09/03/19 06:00:00  PM,11.139,,,,
104,09/03/19 07:00:00  PM,8.879,,,,
105,09/03/19 08:00:00  PM,7.983,,,,
106,09/03/19 09:00:00  PM,7.582,,,,
107,09/03/19 10:00:00  PM,7.280,,,,
