"Plot Title: garibaldi_hobo_22_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10201239, SEN S/N: 10201239, LBL: temp_C)","Coupler Attached (LGR S/N: 10201239)","Host Connected (LGR S/N: 10201239)","Stopped (LGR S/N: 10201239)","End Of File (LGR S/N: 10201239)"
1,08/30/19 12:00:00  PM,17.475,,,,
2,08/30/19 01:00:00  PM,15.569,,,,
3,08/30/19 02:00:00  PM,14.038,,,,
4,08/30/19 03:00:00  PM,14.134,,,,
5,08/30/19 04:00:00  PM,18.521,,,,
6,08/30/19 05:00:00  PM,15.187,,,,
7,08/30/19 06:00:00  PM,13.173,,,,
8,08/30/19 07:00:00  PM,12.207,,,,
9,08/30/19 08:00:00  PM,9.077,,,,
10,08/30/19 09:00:00  PM,9.768,,,,
11,08/30/19 10:00:00  PM,9.472,,,,
12,08/30/19 11:00:00  PM,9.571,,,,
13,08/31/19 12:00:00  AM,9.373,,,,
14,08/31/19 01:00:00  AM,8.680,,,,
15,08/31/19 02:00:00  AM,7.682,,,,
16,08/31/19 03:00:00  AM,5.141,,,,
17,08/31/19 04:00:00  AM,5.244,,,,
18,08/31/19 05:00:00  AM,6.064,,,,
19,08/31/19 06:00:00  AM,6.573,,,,
20,08/31/19 07:00:00  AM,5.347,,,,
21,08/31/19 08:00:00  AM,10.161,,,,
22,08/31/19 09:00:00  AM,14.134,,,,
23,08/31/19 10:00:00  AM,15.378,,,,
24,08/31/19 11:00:00  AM,17.665,,,,
25,08/31/19 12:00:00  PM,23.869,,,,
26,08/31/19 01:00:00  PM,26.585,,,,
27,08/31/19 02:00:00  PM,24.255,,,,
28,08/31/19 03:00:00  PM,21.664,,,,
29,08/31/19 04:00:00  PM,16.332,,,,
30,08/31/19 05:00:00  PM,15.760,,,,
31,08/31/19 06:00:00  PM,11.916,,,,
32,08/31/19 07:00:00  PM,10.455,,,,
33,08/31/19 08:00:00  PM,8.680,,,,
34,08/31/19 09:00:00  PM,8.182,,,,
35,08/31/19 10:00:00  PM,5.757,,,,
36,08/31/19 11:00:00  PM,5.552,,,,
37,09/01/19 12:00:00  AM,4.415,,,,
38,09/01/19 01:00:00  AM,5.552,,,,
39,09/01/19 02:00:00  AM,3.893,,,,
40,09/01/19 03:00:00  AM,7.682,,,,
41,09/01/19 04:00:00  AM,8.282,,,,
42,09/01/19 05:00:00  AM,7.682,,,,
43,09/01/19 06:00:00  AM,4.207,,,,
44,09/01/19 07:00:00  AM,6.674,,,,
45,09/01/19 08:00:00  AM,9.965,,,,
46,09/01/19 09:00:00  AM,11.625,,,,
47,09/01/19 10:00:00  AM,13.846,,,,
48,09/01/19 11:00:00  AM,11.916,,,,
49,09/01/19 12:00:00  PM,16.618,,,,
50,09/01/19 01:00:00  PM,15.378,,,,
51,09/01/19 02:00:00  PM,17.475,,,,
52,09/01/19 03:00:00  PM,14.804,,,,
53,09/01/19 04:00:00  PM,17.189,,,,
54,09/01/19 05:00:00  PM,12.594,,,,
55,09/01/19 06:00:00  PM,11.722,,,,
56,09/01/19 07:00:00  PM,10.161,,,,
57,09/01/19 08:00:00  PM,8.680,,,,
58,09/01/19 09:00:00  PM,7.381,,,,
59,09/01/19 10:00:00  PM,4.415,,,,
60,09/01/19 11:00:00  PM,1.112,,,,
61,09/02/19 12:00:00  AM,1.872,,,,
62,09/02/19 01:00:00  AM,1.872,,,,
63,09/02/19 02:00:00  AM,2.195,,,,
64,09/02/19 03:00:00  AM,1.439,,,,
65,09/02/19 04:00:00  AM,0.232,,,,
66,09/02/19 05:00:00  AM,0.010,,,,
67,09/02/19 06:00:00  AM,-0.437,,,,
68,09/02/19 07:00:00  AM,3.261,,,,
69,09/02/19 08:00:00  AM,2.303,,,,
70,09/02/19 09:00:00  AM,10.651,,,,
71,09/02/19 10:00:00  AM,15.378,,,,
72,09/02/19 11:00:00  AM,22.333,,,,
73,09/02/19 12:00:00  PM,21.282,,,,
74,09/02/19 01:00:00  PM,21.473,,,,
75,09/02/19 02:00:00  PM,25.708,,,,
76,09/02/19 03:00:00  PM,21.282,,,,
77,09/02/19 04:00:00  PM,23.484,,,,
78,09/02/19 05:00:00  PM,16.523,,,,
79,09/02/19 06:00:00  PM,13.269,,,,
80,09/02/19 07:00:00  PM,8.481,,,,
81,09/02/19 08:00:00  PM,6.877,,,,
82,09/02/19 09:00:00  PM,4.623,,,,
83,09/02/19 10:00:00  PM,2.837,,,,
84,09/02/19 11:00:00  PM,1.656,,,,
85,09/03/19 12:00:00  AM,0.563,,,,
86,09/03/19 01:00:00  AM,1.003,,,,
87,09/03/19 02:00:00  AM,2.943,,,,
88,09/03/19 03:00:00  AM,1.439,,,,
89,09/03/19 04:00:00  AM,1.980,,,,
90,09/03/19 05:00:00  AM,1.112,,,,
91,09/03/19 06:00:00  AM,1.548,,,,
92,09/03/19 07:00:00  AM,4.415,,,,
93,09/03/19 08:00:00  AM,5.962,,,,
94,09/03/19 09:00:00  AM,14.230,,,,
95,09/03/19 10:00:00  AM,27.567,,,,
96,09/03/19 11:00:00  AM,28.953,,,,
97,09/03/19 12:00:00  PM,24.931,,,,
98,09/03/19 01:00:00  PM,48.821,,,,
99,09/03/19 02:00:00  PM,20.615,,,,
100,09/03/19 03:00:00  PM,34.163,,,,
101,09/03/19 04:00:00  PM,31.676,,,,
102,09/03/19 05:00:00  PM,13.365,,,,
103,09/03/19 06:00:00  PM,11.625,,,,
104,09/03/19 07:00:00  PM,8.182,,,,
105,09/03/19 08:00:00  PM,6.877,,,,
106,09/03/19 09:00:00  PM,6.674,,,,
107,09/03/19 10:00:00  PM,5.552,,,,
108,09/03/19 11:00:00  PM,5.141,,,,
109,09/04/19 12:00:00  AM,4.831,,,,
110,09/04/19 01:00:00  AM,6.268,,,,
111,09/04/19 02:00:00  AM,4.831,,,,
112,09/04/19 03:00:00  AM,5.655,,,,
113,09/04/19 04:00:00  AM,6.268,,,,
